Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
Ilankudi,0,0,4,0,3,1,0,4,0,0,0,4,0,4,0,4,0
Severakottai,0,0,127,51,55,22,67,60,1,0,1,125,7,119,7,119,0
Athangudi,0,0,25,2,16,7,0,23,2,0,0,25,0,25,2,23,0
Thenkarai,0,0,2,1,1,0,0,2,0,0,0,2,0,2,1,1,0
Usilangulam,0,0,18,1,13,4,0,18,0,0,0,18,3,15,4,14,0
Kunnakudi ,0,0,105,91,13,2,93,13,0,0,0,105,0,106,0,105,0
Vetriyur,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Alangudi,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Alampattu,0,0,18,3,12,3,3,15,0,0,0,18,0,18,4,14,0
Kurudampattu,0,0,2,1,1,0,0,2,0,0,0,2,0,2,1,1,0
Vilavadiendal,0,0,8,0,5,3,0,8,0,0,0,8,0,8,0,8,0
Naduvikottai Melaiyur,0,0,4,0,4,0,0,4,0,0,0,4,0,4,0,4,0
Veppankulam,0,0,5,1,3,1,0,5,0,0,0,5,0,5,1,4,0
Malaikandan,0,0,15,1,12,2,2,13,0,0,0,15,1,14,1,14,0
Keelapoongudi,0,0,6,0,3,3,0,6,0,0,0,6,0,6,0,6,0
K.Athangudi ,0,0,11,0,5,6,0,11,0,0,0,11,0,11,0,10,1
Naduvikottai Keelaiyur,0,0,5,0,3,2,0,5,0,0,0,5,0,5,0,5,0
Kallippatti,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Kallal,0,0,69,25,30,14,18,51,0,0,0,69,0,69,1,68,0
Kovilur,0,0,5,0,5,0,5,0,0,0,0,5,0,5,0,5,0
Siravayal,0,0,6,3,2,1,2,4,0,0,0,6,1,5,3,3,0
Varivayal,0,0,5,2,3,0,0,5,0,0,0,5,0,5,2,3,0
Oyyavandan,0,0,111,46,53,12,61,50,0,0,0,111,0,111,0,111,0
Marathur,0,0,24,14,9,1,22,2,0,0,0,24,3,21,11,13,0
Marakkathur,0,0,104,62,37,5,81,23,0,0,0,103,20,84,33,71,0
Alpattaviduthi,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Minnaranjanvelangulam,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Adappadakki,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Poovali,0,0,30,28,2,0,2,28,0,0,0,30,0,30,28,2,0
Mallal,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Purasapattiudayarendal,0,0,5,4,1,0,1,4,0,0,0,5,0,5,4,1,0
Cholavandan,0,0,2,2,0,0,2,0,0,0,0,2,0,2,1,1,0
Periakannanur,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Pudukkilavachi,0,0,114,112,2,0,88,26,0,0,0,114,0,114,1,113,0
Kollankudi,0,0,5,3,1,1,2,3,0,0,0,5,0,5,1,4,0
Sembanur,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Nadamangalam,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Pirandakulam,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Kanjiram,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
Marandai,0,0,30,10,19,1,15,15,0,0,0,30,0,30,3,25,2
Purasadiudappu,0,0,37,5,12,20,19,18,0,0,0,37,1,36,5,32,0
Sennalakudi,0,0,2,1,1,0,2,0,0,0,0,2,0,2,0,2,0
Siramam,0,0,5,5,0,0,4,1,0,0,0,5,0,5,3,2,0
Pulavanvayal,0,0,2,1,1,0,1,1,0,0,0,2,0,2,1,1,0
Valanai,0,0,2,2,0,0,2,0,0,0,0,2,0,2,1,1,0
Kalkulam,0,0,2,1,1,0,2,0,0,0,0,2,1,1,0,2,0
Sirukanaperi,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
Gowripatti,0,0,2,2,0,0,2,0,0,0,0,2,0,2,0,2,0
Siriyur,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Sethur,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
Palkulam,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
Sembar,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Kolanthi,0,0,2,1,1,0,2,0,0,0,0,2,1,1,1,1,0
Sedambal,0,0,102,2,14,86,62,37,3,0,3,99,1,101,1,78,23
Vettikulam,0,0,2,2,0,0,1,1,0,0,0,2,0,2,1,1,0
Mudikkarai,0,0,74,9,48,17,17,57,0,0,0,74,0,73,3,71,0
Muthur,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Mangattendal,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Kanjipatti,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Vittaneri,0,0,8,7,0,1,0,8,0,0,0,8,0,8,0,8,0
Panangadi,0,0,18,16,1,1,4,14,0,0,0,18,0,18,3,15,0
Vaniyankudi,0,0,2,0,0,2,2,0,0,0,0,2,0,2,0,2,0
Nattarasankottai,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Kuruthanivariendal,0,0,2,0,2,0,1,1,0,0,0,2,0,2,0,2,0
Allur,0,0,2,0,1,1,2,0,0,0,0,2,0,2,0,2,0
Sevaoorani,0,0,6,2,3,1,3,3,0,0,0,6,3,3,0,6,0
Paruthikanmai,0,0,2,0,2,0,1,1,0,0,0,2,1,1,0,2,0
Mangulam Vagaikulam,0,0,3,0,2,1,1,2,0,0,0,3,1,2,0,3,0
Nedungulam,0,0,2,0,0,2,0,2,0,0,0,2,2,0,0,2,0
Pallivayal,0,0,5,1,1,3,2,3,0,0,0,5,2,3,0,5,0
Moovarkanmoi,0,0,112,0,95,17,30,82,0,0,0,112,0,112,0,112,0
Mathukanmoi,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Somanathamangalam,0,0,3,0,1,2,1,2,0,0,0,3,0,3,0,3,0
Kodikadukadamboorani,0,0,3,0,1,2,1,2,0,0,0,3,1,2,0,3,0
Surakkulam,0,24,84,40,14,54,84,24,0,8,9,91,0,108,12,96,0
Alavilanpatti,0,0,45,15,28,2,2,43,0,0,0,45,0,45,24,21,0
Keelamangalam,0,0,2,2,0,0,2,0,0,0,0,2,0,2,0,2,0
Keelakottai,0,0,59,37,18,4,0,57,2,0,0,59,0,59,0,59,0
Kottappatti,0,0,16,11,5,0,5,11,0,0,0,16,0,16,2,14,0
Kadaneri,0,0,4,2,1,1,2,2,0,0,0,4,0,4,1,3,0
Kathappattu,0,0,5,2,1,2,3,2,0,0,0,5,0,5,2,3,0
Mongankanmoi,0,0,6,1,3,2,3,3,0,0,0,6,0,6,0,6,0
Paganeri ,0,0,37,27,10,0,8,29,0,0,0,37,0,37,4,33,0
Nagarampatti,0,0,2,2,0,0,0,2,0,0,0,2,0,2,1,1,0
Karungalakudi,0,0,4,2,1,1,3,1,0,0,0,4,0,4,0,4,0
Silanthagudi,0,0,3,3,0,0,0,3,0,0,0,2,0,2,0,2,0
Vannikkudi,0,9,91,11,17,72,39,13,48,1,0,99,1,99,6,94,0
Ammanpatti,0,0,4,2,2,0,1,3,0,0,0,4,0,4,0,4,0
Sakkur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,1,1,0
Nallendal,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Silukkapatti,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
Sakkur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,1,1,0
Nallendal,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Silukkapatti,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
Vallakulam,0,0,105,0,89,16,96,9,0,0,0,105,15,90,0,105,0
Kottaiyur,0,0,102,2,100,0,59,43,0,0,0,102,0,102,0,102,0
Visavanoor,0,0,127,13,96,18,100,27,0,0,0,127,24,103,0,127,0
Nagamuganthankudi,0,0,101,23,29,49,79,22,0,1,5,95,0,101,0,54,47
Ilamanur,0,0,100,9,60,31,84,16,0,0,0,100,46,54,0,75,25
Munaivendri,0,0,100,26,20,54,30,68,2,1,0,99,23,77,0,39,61
Vijayangudi,0,0,132,2,33,97,113,19,0,0,0,132,0,132,0,132,0
S.Karaikudi,0,0,158,2,85,71,2,156,0,0,0,158,57,101,0,101,57
Kannamangalam,0,0,100,15,80,5,80,17,3,0,1,99,0,100,0,100,0
Seevalathi,0,0,118,24,70,24,97,21,0,0,0,118,18,100,0,99,19
Sooranam,0,0,102,5,78,19,98,4,0,0,0,102,5,97,0,102,0
Sirupalai,0,0,27,0,27,0,27,0,0,0,0,27,0,27,0,27,0
Alavidangan,0,0,22,1,15,6,22,0,0,0,0,22,0,22,0,22,0
Vadakkuchandanur ,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Perumbacheri,0,0,2,0,0,2,2,0,0,0,0,2,0,2,0,2,0
Valayanendal,0,0,4,0,2,2,4,0,0,0,0,4,0,4,0,4,0
Kalangathankottai,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Akkavayal,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Mulliyarendal,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Virayathakandan,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Thugavoor,0,0,2,0,1,1,2,0,0,0,0,2,0,2,0,2,0
Katchathanallur,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Kumarakurichi,0,0,2,0,1,1,2,0,0,0,0,2,0,2,0,2,0
Kurichi,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Keelayur,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Ilayangudi South,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Muthur,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Vandal,0,0,4,0,4,0,4,0,0,0,0,4,0,4,0,4,0
Kattanur,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Aranaiyur,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Pudukkottai,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Vadakkukeeranur,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Samudram,0,0,4,0,2,2,4,0,0,0,0,4,0,4,0,4,0
Nageraakudi,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
N. Andakudi,0,0,3,0,2,1,3,0,0,0,0,3,0,3,0,3,0
Sathanur,0,0,3,0,2,1,3,0,0,0,0,3,0,3,0,3,0
Thiruudayarpuram,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Ilayangudi North,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Karunchutti,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Salaigramam,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Uthamanur,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Udayanoor,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Sothugudi,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Melayur,0,0,27,0,18,9,18,9,0,0,0,27,7,20,0,18,9
Egaraikottaivayal,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Maranisarugani,0,3,98,60,16,25,70,31,0,2,3,96,0,101,79,22,0
Melasembonmari ,0,0,115,50,15,50,9,83,23,0,3,112,0,115,3,112,0
Kannankottai,0,0,4,0,3,1,2,2,0,0,0,4,0,4,0,4,0
Thenniervayal,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Eluvankottai,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
N. Manakudi,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Minnittankudi,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Uruvatti,0,0,153,84,64,5,96,57,0,1,0,152,0,153,0,153,0
Vellikatti,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Ponnalikopttai,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
Thirani,0,0,112,0,29,83,6,106,0,0,1,111,3,109,2,110,0
Kodikulam,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Orumaniyendal,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Nedodai,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
Thatchavayal,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Sirunallur,0,2,111,31,67,15,74,38,1,3,6,104,1,112,0,113,0
Thalakkavayal,0,0,100,12,11,77,74,26,0,0,0,100,0,99,7,93,0
Thidakkottai,0,0,101,101,0,0,99,2,0,0,0,101,0,101,33,68,0
Kurunthanakottai,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Karkalathur,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Muppaiyur,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Tiruvegampet,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Pagayani Pirandani,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
Sakkanthi,0,0,13,3,10,0,12,1,0,0,0,13,1,12,0,13,0
Panangulam,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Vasandani,0,0,21,1,20,0,1,20,0,0,0,21,0,21,0,21,0
Karai,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Vagaigudi,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Nedungulam,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Kallangudi,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Pudukkottai,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Vadinanniyur,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Vilimar,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
Idayagudi,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
Virisur,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Orasur,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Vijayapuram,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Siruvatti,0,0,40,1,36,3,7,33,0,0,0,40,0,40,0,40,0
Manjani,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Thalanendal,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Kodikkottai,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Kadagampatti,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Maviduthikottai,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Thirumanavayal,0,0,6,0,6,0,5,1,0,0,0,6,0,6,0,6,0
Kottur,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Vettiyalangulam,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Nallangudi,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Nachankulam,0,7,94,0,4,97,83,18,0,0,4,97,0,101,0,79,22
Thalaiyur,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Sirumarudhur,0,0,5,1,3,1,0,5,0,0,0,5,0,5,0,5,0
Kandadevi,0,0,6,5,1,0,0,6,0,0,0,6,0,6,0,6,0
Ilakkanivayal,0,0,3,0,2,1,0,3,0,0,0,3,0,3,0,3,0
Nagamathi,0,0,33,5,28,0,0,33,0,0,0,33,0,33,0,33,0
Kumarniadhanichatram,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Anthakudi,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Selugai,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Seluvatti,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Kondaiyanur,0,7,20,10,4,13,26,0,1,0,9,18,0,27,1,26,0
Pattipadi,0,3,43,12,12,22,46,0,0,0,13,33,0,46,1,45,0
Sonappadi,0,1,28,13,11,5,27,2,0,0,4,25,0,29,1,28,0
Vellur,0,1,28,0,7,22,28,0,1,0,12,17,0,29,0,29,0
Kakkambadi,0,0,17,0,9,8,11,6,0,0,3,14,0,17,0,17,0
Pottakkadu,0,0,3,1,1,1,3,0,0,0,1,2,0,3,0,3,0
Pilleri,0,0,7,0,4,3,5,2,0,0,0,7,0,7,0,7,0
Talai cholai,0,0,125,18,62,45,82,43,0,0,0,125,0,125,0,125,0
Sengadu,0,0,3,0,0,3,2,1,0,0,0,3,0,3,3,0,0
Kombaikkadu,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
Kumbipodi,0,0,2,2,0,0,2,0,0,0,0,2,0,2,0,2,0
Puliankadai,0,0,7,3,2,2,5,2,0,0,0,7,0,7,0,7,0
Puthur,0,0,10,7,1,2,7,3,0,0,0,10,0,10,0,10,0
Keeraikkadu,0,0,18,16,1,1,18,0,0,0,0,18,0,18,0,18,0
Chinnamadur,0,0,5,4,0,1,4,1,0,0,2,3,0,5,0,5,0
Valavandi,0,0,11,7,0,4,10,1,0,0,0,11,0,11,0,11,0
Senthittu,0,0,15,12,1,2,11,4,0,0,0,15,0,15,0,15,0
Arangam,0,0,6,5,1,0,6,0,0,0,1,5,0,6,0,6,0
Kelaiyur,0,0,6,4,1,1,5,0,1,0,1,5,0,6,0,6,0
Melur,0,4,1,5,0,0,5,0,0,0,1,4,0,5,0,5,0
Kombu Thukki,0,0,7,4,2,1,7,0,0,0,0,7,0,7,0,7,0
Kolagur,0,0,3,3,0,0,1,2,0,0,0,3,0,3,0,3,0
Mettur,0,3,2,5,0,0,5,0,0,0,3,2,0,5,0,5,0
Maramangalam,0,0,27,11,7,9,24,3,0,0,0,27,0,27,0,27,0
Anakkadu,0,0,5,3,2,0,4,1,0,0,0,5,0,5,0,5,0
Nallur,0,1,3,4,0,0,4,0,0,0,2,2,0,4,0,4,0
Madur,0,0,5,3,2,0,4,1,0,0,0,5,0,5,0,5,0
Kovilur,0,0,5,5,0,0,3,2,0,0,0,5,0,5,0,5,0
Pelakkadu,0,0,5,5,0,0,4,1,0,0,0,5,0,5,0,5,0
Kootumuttal,0,0,5,5,0,0,5,0,0,0,0,5,0,5,0,5,0
Madur,0,0,9,3,4,2,6,3,0,0,0,9,0,9,0,9,0
Kovilur,0,0,12,5,3,4,10,2,0,0,0,12,0,12,0,12,0
Pelakkadu,0,0,13,6,4,3,9,4,0,0,0,13,0,13,0,13,0
Kootumuttal,0,0,17,5,4,8,17,0,0,0,0,17,0,17,0,17,0
Aramanaikadu,0,0,3,0,0,3,1,2,0,0,0,3,0,3,0,3,0
Narthananedu,0,0,2,0,1,1,2,0,0,0,0,2,0,2,0,2,0
Kottachchedu,0,0,5,0,1,4,5,0,0,0,0,5,0,5,0,5,0
Ariyampalayam,0,0,53,11,26,16,23,28,2,0,0,53,1,52,0,53,0
Uthamasolapuram,0,0,98,10,62,26,40,57,1,0,0,98,1,97,0,97,1
Kadathur Agraharam,0,0,103,23,44,36,68,34,1,0,0,103,0,103,0,82,21
Puthur Agraharam (CT),0,1,141,6,89,47,74,68,0,0,0,142,5,136,0,122,20
Senaipalayam,1,0,99,2,62,36,71,28,1,0,0,100,1,99,0,89,11
Akkaraipalaiyam,0,0,83,11,25,47,31,52,0,0,0,83,5,78,0,76,7
Palampatti,0,0,42,6,25,11,23,18,1,0,0,42,1,41,0,41,2
Bairoji,0,0,3,1,2,0,3,0,0,0,0,3,0,3,0,0,3
Kombadipatti,0,0,3,0,0,3,0,3,0,0,0,3,0,3,0,3,0
Periyaseeragapadi,0,0,3,0,3,0,1,2,0,0,0,3,0,3,0,3,0
Rajapalayam (CT),0,0,6,2,1,3,1,5,0,0,0,6,0,6,0,6,0
Chennagiri (CT),0,0,4,0,2,2,1,3,0,0,0,4,0,4,0,3,1
Chinnasiragapadi,0,0,3,0,0,3,0,3,0,0,0,3,0,3,0,3,0
Pettampatti,0,0,8,0,3,5,4,4,0,0,0,8,0,8,0,7,1
Rakkipatti,0,0,5,0,5,0,1,4,0,0,0,5,0,5,0,4,1
Nallarayampatti,0,0,3,0,2,1,1,2,0,0,0,3,0,3,0,3,0
Arikkavandanpatti,0,0,5,0,0,5,5,0,0,0,0,5,0,5,0,4,1
Murungapatti,0,0,5,1,4,0,5,0,0,0,0,5,0,5,0,4,1
Sevampalayam,0,0,3,0,0,3,0,3,0,0,0,3,0,3,0,3,0
Nayinampatti,0,0,5,5,0,0,1,4,0,0,0,5,1,4,0,4,1
Reddipatti,0,0,4,0,0,4,2,2,0,0,0,4,0,4,0,4,0
Attavanaipulaveri,0,0,2,0,1,1,0,1,1,0,0,2,0,2,0,1,1
Anaikuttaipatti,0,0,3,1,2,0,0,3,0,0,0,3,0,3,0,3,0
Veerapandi,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0
Ellimanaickampatti,0,0,4,1,1,2,0,1,3,0,0,4,0,4,0,4,0
Ramapuram,0,0,4,0,1,3,1,3,0,0,0,4,0,4,0,2,2
Vembadithalam (CT),0,0,4,0,2,2,4,0,0,0,0,4,0,4,0,1,3
Kalparapatti (CT),0,0,3,0,1,2,0,3,0,0,0,3,0,3,0,3,0
Perumagoundampatti (CT),0,0,4,0,0,4,4,0,0,0,0,4,0,4,0,1,3
Ilampillai,0,0,4,0,2,2,2,2,0,0,0,4,1,3,0,2,2
Perumampatti,0,0,5,4,1,0,5,0,0,0,0,5,3,2,0,4,1
Luguvanpatti,0,0,4,0,4,0,4,0,0,0,0,4,1,3,0,3,1
Kothanur,0,0,3,2,1,0,3,0,0,0,0,3,2,1,0,2,1
Nallampatti,0,0,4,4,0,0,4,0,0,0,0,4,0,4,0,4,0
Thunbathulipatti,0,0,4,4,0,0,4,0,0,0,0,4,3,1,0,3,1
Muttanampalayam,0,0,4,0,4,0,0,4,0,0,0,4,0,4,0,2,2
Attayampatti,0,0,8,2,3,3,3,5,0,0,0,8,1,7,0,8,0
Thanakuttipalayam,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
Papparapatti (CT),0,0,5,0,5,0,5,0,0,0,0,5,0,5,0,2,3
Marulayampalayam,0,0,4,1,3,0,1,3,0,0,0,4,0,4,0,4,0
Keeraipappambadi,0,0,3,1,2,0,2,1,0,0,0,3,0,3,0,3,0
Maramangalathupatti (CT),0,0,4,4,0,0,4,0,0,0,0,4,0,4,0,4,0
Nayakkanpatti,0,0,4,4,0,0,4,0,0,0,0,4,0,4,0,4,0
Athanurpatti,0,0,60,7,22,31,21,35,4,0,0,60,0,60,0,60,0
Tirumanur,0,2,153,30,96,29,130,20,5,0,0,155,0,155,0,155,0
Muttampatti,0,0,120,4,51,65,113,7,0,0,0,120,0,120,0,119,1
Vettaikkaranur,0,0,23,0,15,8,13,10,0,0,0,23,0,23,0,23,0
Kumarasamiyur,0,0,19,0,10,9,2,17,0,0,0,17,0,15,0,13,0
Nirmullikuttai,0,0,114,6,50,58,47,60,7,0,0,114,0,114,0,111,3
Veppilaipatti,0,0,6,0,3,3,5,1,0,0,0,6,0,6,0,6,0
Malaiyalapatti,0,0,5,0,5,0,3,2,0,0,0,5,0,5,0,5,0
Somanpatti,0,0,3,0,0,3,2,1,0,0,0,3,0,3,0,2,1
Karungalpatti,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Kolathukombai,0,0,6,0,6,0,3,3,0,0,0,6,0,6,0,5,1
Vilaripalayam,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Periakuttimaduvu,0,0,3,0,2,1,3,0,0,0,0,3,0,3,0,0,3
Pungamaduvu,0,0,3,0,1,2,3,0,0,0,0,3,0,3,0,1,2
Mannarpalayam,0,0,6,0,4,2,6,0,0,0,0,6,0,6,0,6,0
Puludikkuttai,0,0,5,0,1,4,5,0,0,0,0,5,0,5,0,4,1
Ponnarampatti,0,0,3,0,0,3,3,0,0,0,0,3,0,3,0,3,0
Kattuveppilaipatti,0,0,3,0,2,1,3,0,0,0,0,3,0,3,0,1,2
Vallapadi (R.F),0,0,11,1,9,1,11,0,0,0,0,11,0,11,0,8,3
Chandrapillaivalasai,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Tukkiyampalayam,0,0,5,0,4,1,5,0,0,0,0,5,0,5,0,3,2
Chinnamanayakanpalayam,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Kurichi,0,0,5,0,5,0,5,0,0,0,0,5,0,5,0,0,5
Chinnakuttimaduvu,0,0,4,0,2,2,4,0,0,0,0,4,0,4,0,1,3
Kankatti Ala,0,0,4,0,3,1,4,0,0,0,0,4,0,4,0,4,0
Veppilaipatti pudur,0,0,5,0,4,1,5,0,0,0,0,5,0,5,0,5,0
Komarapalayam,0,0,5,1,4,0,5,0,0,0,0,5,0,5,0,5,0
Kiraipatti,0,0,4,0,2,2,4,0,0,0,0,4,0,4,0,2,2
Tekkalpatti,0,0,5,0,4,1,5,0,0,0,0,5,0,5,0,5,0
Belur,0,0,4,0,4,0,4,0,0,0,0,4,0,4,0,4,0
Mannayakanpatti,0,0,3,0,1,2,3,0,0,0,0,3,0,3,0,3,0
Kavurkkalpatti,0,0,2,1,1,0,2,0,0,0,0,2,0,2,0,0,2
Idaiyapatti,0,1,107,15,49,44,21,84,3,0,0,107,0,107,0,107,0
T.Konagapadi,1,0,143,10,70,64,66,69,9,0,1,143,1,143,0,139,5
Pappambadi,0,0,152,8,73,71,109,43,0,0,0,152,0,152,0,137,15
Panikkanur,0,0,6,0,2,4,3,3,0,0,0,6,0,6,0,5,1
Ellavampatti,0,0,8,4,1,3,7,1,0,0,0,8,0,8,0,8,0
Mallikuttai,0,0,6,0,2,4,5,1,0,0,0,6,0,6,0,6,0
Manathal,0,0,9,1,5,3,4,5,0,0,0,9,0,9,0,8,1
Amarakundhi,0,0,9,0,6,3,8,1,0,0,0,9,0,9,0,9,0
Selavadi,0,0,7,2,2,3,4,3,0,0,0,7,0,7,0,7,0
Ramireddipatti,0,0,8,3,5,0,7,1,0,0,0,8,0,8,0,8,0
Ariyampatti,0,0,3,0,3,0,2,1,0,0,0,3,0,3,0,3,0
Alagusamudram,0,0,5,0,1,4,0,5,0,0,0,5,0,5,0,5,0
Karukkalvadi (CT),0,0,8,3,1,4,2,6,0,0,0,8,0,8,0,8,0
Kurukkupatti (CT),0,0,6,0,2,4,1,5,0,0,0,6,0,6,0,6,0
Arurpatti,0,0,6,4,1,1,3,3,0,0,0,6,0,6,0,6,0
Desavilakku North,0,0,6,5,1,0,5,1,0,0,0,6,0,6,0,6,0
Kasuvireddipatti,0,0,4,4,0,0,2,2,0,0,0,4,0,4,0,4,0
Tharamangalam,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Thittacheri,0,0,102,38,56,8,73,25,4,0,0,102,5,97,0,97,5
Varagur,0,0,101,31,63,7,76,25,0,1,0,100,4,97,0,101,0
Sadasivapuram,0,0,147,9,76,62,47,68,32,0,0,147,0,147,0,147,0
Narakkurchi,0,3,155,25,80,53,98,57,3,0,0,158,3,155,0,155,3
